driverId,week,hours-logged,miles-logged
88,47,80,3100
71,27,68,1300
103,42,54,1600
79,26,53,1400
22,34,54,1900
75,49,71,1600
52,34,67,2400
45,5,73,2900
106,30,60,2500
96,14,56,2800
31,19,80,3600
93,46,59,800
32,42,58,200
83,10,77,100
19,22,62,700
96,25,63,2600
100,15,56,2900
58,6,68,3500
18,34,70,2300
46,18,79,600
83,43,69,3100
33,19,74,900
66,22,64,2700
44,23,58,3900
104,14,56,3600
99,29,63,2000
76,29,72,1400
59,12,63,3200
20,38,80,3500
84,9,59,500
12,20,61,2400
77,48,57,500
36,33,68,100
36,5,68,1200
41,47,78,2900
109,26,61,3700
25,13,75,2500
75,52,69,100
15,6,79,1700
16,25,69,1600
39,11,79,2100
105,15,51,2400
109,2,75,300
22,25,71,3800
28,16,71,500
109,21,65,1200
37,1,63,100
57,6,55,1800
78,23,61,800
97,28,67,1400
105,48,69,3000
92,8,72,2100
87,33,57,3800
21,40,57,2000
52,18,75,2100
29,25,69,1800
33,11,51,3200
78,5,64,300
45,8,57,600
63,43,53,900
13,18,68,2300
15,37,70,1000
99,43,76,1300
56,14,75,4000
86,28,67,400
76,26,66,0
60,20,52,3600
101,36,73,800
92,5,67,2300
39,17,74,500
31,26,66,1600
34,1,78,1300
30,7,66,1400
26,19,76,3200
77,31,62,3000
100,5,52,1700
35,16,54,300
27,32,72,3500
34,21,59,3300
34,4,78,1100
82,46,66,1900
78,7,61,3300
66,7,54,2800
47,48,78,2900
92,11,63,3000
36,29,64,3000
27,47,62,1000
92,23,64,200
104,4,59,3800
27,14,64,3900
80,3,62,0
23,34,62,2600
86,37,77,1400
64,50,50,1700
16,15,53,700
68,36,80,2900
87,19,54,3000
45,51,60,1000
18,35,67,3500
39,34,50,3400
90,38,51,2600
14,48,78,3300
57,23,55,3100
24,6,70,3800
29,24,69,500
21,11,59,3500
36,37,71,2300
93,33,72,3700
66,42,77,2900
100,25,56,3300
77,46,55,2400
40,36,69,1900
31,8,58,3900
54,5,51,2600
86,34,69,400
73,40,71,3800
68,38,55,2700
78,31,69,100
36,35,53,2800
12,46,69,100
85,31,67,1600
43,15,69,600
23,21,71,2100
79,12,77,3600
45,32,61,4000
17,51,78,1600
77,3,71,2700
99,42,65,2800
75,8,70,2700
93,24,62,900
87,51,66,1400
86,45,76,1100
24,41,69,0
81,35,75,1800
35,51,66,900
23,44,73,2700
104,3,79,1800
20,47,57,2700
13,19,78,1700
47,44,53,2000
55,49,50,2200
23,10,63,1900
69,39,54,100
96,35,69,3700
11,47,66,2600
85,10,71,3400
81,8,59,800
37,8,78,2000
88,1,57,1100
84,12,59,2800
96,48,73,3900
82,29,55,3300
36,34,62,300
45,21,63,3900
30,19,69,3800
44,12,57,100
60,6,80,2100
91,43,53,0
13,14,61,3200
96,19,54,1100
78,9,79,3600
12,40,56,1000
13,23,56,3100
29,9,69,1600
37,8,78,800
72,13,60,1100
36,33,66,2100
94,19,73,300
52,50,65,1500
41,45,59,3200
97,18,68,1200
67,8,79,3000
105,1,76,3900
108,16,79,4000
36,27,58,2300
80,52,76,2900
14,6,63,500
36,41,75,3200
96,43,80,2600
92,38,62,1600
48,1,76,3500
38,23,73,3600
14,11,68,3400
57,30,60,1300
11,5,61,3100
106,17,77,2600
29,42,73,3000
58,28,57,3300
63,14,77,2800
36,51,79,400
30,41,58,3800
52,29,58,0
21,52,70,700
22,22,62,1300
67,45,61,3800
107,20,57,1500
44,45,50,3900
72,50,61,600
28,37,58,2500
19,25,67,2100
29,24,80,400
86,36,80,2100
91,32,78,1100
59,2,55,600
51,15,71,300
47,22,69,4000
93,47,70,2800
44,15,57,0
104,6,69,1400
82,15,70,2300
30,15,55,2600
88,39,79,1600
78,17,54,3900
21,41,53,800
58,18,67,3500
30,9,65,1200
65,21,77,3800
52,25,73,2900
97,22,71,3200
49,46,58,600
58,26,55,2700
100,25,61,2800
20,9,59,2600
107,27,69,2800
58,30,71,3400
60,15,72,900
104,29,50,2600
29,16,57,1300
75,26,67,300
14,12,59,600
69,23,53,3500
21,15,64,2600
58,51,58,2700
103,26,74,1500
20,29,58,2900
19,46,66,200
69,37,79,4000
49,48,61,800
105,36,73,3800
109,50,68,400
11,16,57,2300
39,28,69,300
86,25,51,0
34,10,70,3600
82,39,70,1500
60,35,71,100
79,47,62,3100
81,29,63,2700
43,17,79,3200
78,52,64,600
31,22,76,3800
40,32,52,900
105,29,68,3600
33,42,51,3800
98,4,58,1100
87,20,51,2000
81,18,79,3700
72,43,57,1300
81,29,65,3600
36,48,54,3300
31,14,62,3500
13,34,69,0
54,51,54,200
49,3,63,1200
33,19,75,0
51,6,79,1100
12,17,79,1600
45,14,56,2700
101,12,72,3800
30,6,80,3400
83,40,69,1200
39,35,51,1300
18,20,54,100
16,48,54,3300
89,25,66,3300
71,10,62,1300
79,27,60,3100
100,6,51,3500
73,17,75,1600
74,8,68,3300
28,42,67,1100
101,18,62,1600
66,10,73,600
98,37,75,700
19,39,68,1300
99,13,70,2100
34,44,51,3200
87,20,76,1700
41,29,59,3000
49,30,54,200
44,43,78,1300
35,12,51,3500
83,52,73,3100
108,8,79,3200
56,24,55,3500
81,10,71,500
101,16,72,800
54,25,50,2300
33,22,67,2600
41,14,57,1800
84,46,68,1700
22,52,56,2300
101,27,67,1000
10,49,65,3400
102,15,69,3700
22,32,60,1200
47,46,54,3500
83,19,67,4000
39,3,67,3800
49,20,70,1800
66,48,71,1300
43,43,71,1900
31,5,50,2500
18,20,50,0
66,32,63,300
89,17,78,2100
68,22,73,400
31,20,72,3500
74,25,76,100
58,22,70,800
101,19,78,2300
25,46,58,2000
19,52,66,2800
90,20,63,3500
67,20,73,3200
55,30,75,2000
60,15,51,3300
90,2,61,2000
65,38,65,2200
52,23,59,3800
105,29,68,100
25,23,65,1200
92,47,63,1900
72,44,52,1200
49,33,51,700
43,35,70,2500
106,26,54,0
66,16,79,3600
91,3,53,2100
31,18,72,1600
100,44,61,2600
23,44,52,100
39,2,67,1500
81,15,76,3000
25,7,79,3000
20,21,65,1300
32,18,58,2700
82,37,50,400
34,10,64,3900
80,26,72,2300
63,10,66,3300
77,28,64,900
25,41,61,2700
85,3,78,2000
27,17,67,1200
79,44,68,1300
42,52,79,3900
12,17,74,2200
44,38,78,1500
68,48,58,2300
18,26,62,300
105,51,74,2800
15,26,70,3700
89,40,64,2900
39,37,54,3800
53,10,67,1100
59,24,67,1800
48,5,66,2100
85,37,51,1700
48,43,54,400
30,36,50,1600
40,34,52,2500
77,51,55,900
14,26,71,1000
53,9,54,2800
43,12,53,3600
75,15,53,4000
101,22,56,2500
62,33,62,400
10,14,69,3800
43,29,65,3900
46,39,77,1700
19,39,69,1400
80,26,69,3000
19,47,58,4000
106,10,79,1900
44,32,65,2600
73,14,78,1500
88,22,69,1700
98,2,50,500
24,29,56,900
32,48,62,4000
26,1,51,2500
55,42,57,1000
42,39,50,3300
46,12,52,1300
108,26,67,2300
41,29,55,200
78,47,53,2500
54,41,65,2200
92,44,64,3800
46,49,72,2200
96,25,53,2900
46,5,65,3100
96,34,76,3200
89,16,69,2600
80,15,56,500
104,50,68,1600
22,45,55,2400
106,17,79,3800
51,47,80,1900
97,24,58,1000
96,47,78,1300
84,41,65,1400
96,38,55,2800
53,36,51,1700
93,49,79,3800
17,38,54,1700
90,47,57,0
95,47,53,100
45,16,50,1000
92,25,56,3400
14,23,65,1200
37,44,62,1400
104,51,77,700
28,48,65,2600
22,12,73,3900
54,39,53,1200
51,31,67,2800
70,34,53,3200
92,30,54,2400
37,9,52,1600
44,47,73,100
54,3,64,3200
65,4,70,1000
81,32,50,3300
85,16,78,500
24,46,53,1500
72,45,50,900
45,1,62,2500
14,26,62,600
97,15,58,1500
60,4,80,300
21,32,75,3100
91,46,51,600
12,46,65,700
48,39,63,1700
23,28,80,3400
61,25,66,3400
49,33,66,2800
89,2,76,1600
13,51,58,2900
42,45,68,3100
73,1,53,3700
56,27,73,2500
102,8,55,2600
21,25,79,2300
25,13,73,1900
50,45,65,1500
21,16,55,3300
12,35,61,500
42,7,61,3300
20,21,71,2900
71,26,78,400
56,46,58,3200
54,34,50,3000
12,49,73,2600
60,39,58,1500
41,43,58,500
75,41,55,3700
107,30,57,3300
41,3,64,300
65,48,66,3000
95,18,54,300
73,18,50,2300
52,22,72,3500
14,20,54,3300
90,14,62,1100
15,23,67,3700
21,32,52,0
83,26,62,2600
33,14,51,1100
30,50,64,2800
42,52,78,2500
72,11,73,200
32,38,64,3500
